SysID	ItemNo	PartNo	PartName	IDCust	Image	IDProject	PackingType	PartTypeID	StdPack	FGLocation	QtyPerCar	SupplierID	CreateBy	IsActive	IsDelete	NameType	INSERT INTO BOM1 (SysID, ItemNo, PartNo, PartName, IDCust, Image, IDProject, PackingType, PartTypeID, StdPack, FGLocation, QtyPerCar, SupplierID, CreateBy, IsActive, IsDelete, NameType) VALUES 
SAI1700089	14	8982594670	CLOSING FRT PLR UPR LH	708	NULL	10011		FG3	0		1	0	50509	1	0	NULL	('SAI1700089','14','8982594670','CLOSING FRT PLR UPR LH','708',NULL,'10011','','FG3','0','','1','0','50509','1','0',NULL),
SAI1700104	7	61130-73R00-000	BRACKET COMP,FR SEAT RR OUT,R	95	NULL	3		FG3	0		1	0	50509	1	1	NULL	('SAI1700104','7','61130-73R00-000','BRACKET COMP,FR SEAT RR OUT,R','95',NULL,'3','','FG3','0','','1','0','50509','1','1',NULL),
SAI1700113	2	58650-68P10-000	CROSSMEMBER COMP,DASH UPPER,R	95	NULL	10010		FG3	0		1	0	50509	1	0	NULL	('SAI1700113','2','58650-68P10-000','CROSSMEMBER COMP,DASH UPPER,R','95',NULL,'10010','','FG3','0','','1','0','50509','1','0',NULL),
SAI1700121	10	61531-73R00-000	REINF,RR SEAT RAIL FR CTR	95	NULL	10010		FG3	0		1	0	50509	1	0	NULL	('SAI1700121','10','61531-73R00-000','REINF,RR SEAT RAIL FR CTR','95',NULL,'10010','','FG3','0','','1','0','50509','1','0',NULL),
SAI1700122	11	61532-73R00	PATCH RR SEAT RAIL FR CTR	95	NULL	10010		FG3	0		1	0	50509	1	0	NULL	('SAI1700122','11','61532-73R00','PATCH RR SEAT RAIL FR CTR','95',NULL,'10010','','FG3','0','','1','0','50509','1','0',NULL),
SAI1700135	24	68131-73R00	REINF FR DOOR OUTER CTR R	95	NULL	10010		FG3	0		1	0	50509	1	0	NULL	('SAI1700135','24','68131-73R00','REINF FR DOOR OUTER CTR R','95',NULL,'10010','','FG3','0','','1','0','50509','1','0',NULL),
SAI1700153	42	86180-74P60	REINF COMP, LIFTER, R	95	NULL	10010		FG3	0		1	0	50509	1	0	NULL	('SAI1700153','42','86180-74P60','REINF COMP, LIFTER, R','95',NULL,'10010','','FG3','0','','1','0','50509','1','0',NULL),
SAI1700154	43	86680-74P60	REINF COMP, LIFTER, L	95	NULL	10010		FG3	0		1	0	50509	1	0	NULL	('SAI1700154','43','86680-74P60','REINF COMP, LIFTER, L','95',NULL,'10010','','FG3','0','','1','0','50509','1','0',NULL),
SAI1700157	46	88111-73RA0	BRACKET, 3RD STAY INSIDE R	95	NULL	10010		FG3	0		1	0	50509	1	0	NULL	('SAI1700157','46','88111-73RA0','BRACKET, 3RD STAY INSIDE R','95',NULL,'10010','','FG3','0','','1','0','50509','1','0',NULL),
SAI1700159	48	88611-73RA0	BRACKET, 3RD STAY INSIDE L	95	NULL	10010		FG3	0		1	0	50509	1	0	NULL	('SAI1700159','48','88611-73RA0','BRACKET, 3RD STAY INSIDE L','95',NULL,'10010','','FG3','0','','1','0','50509','1','0',NULL),
SAI1700160	49	87318-73R00	BRACKET, RR RCLNG STOPPER	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700160','49','87318-73R00','BRACKET, RR RCLNG STOPPER','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700161	50	87263-73R00	HOOK, SPRING RR,R	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700161','50','87263-73R00','HOOK, SPRING RR,R','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700162	51	87323-73RJ0	BRACKET, RR CENTER ELR	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700162','51','87323-73RJ0','BRACKET, RR CENTER ELR','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700164	53	87133-73R00	HOOK, SPRING FR,R	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700164','53','87133-73R00','HOOK, SPRING FR,R','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700165	54	87266-73R00	HOOK, SPRING FR,L	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700165','54','87266-73R00','HOOK, SPRING FR,L','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700171	60	88152-73RA0	LINK, 3RD CUSH LEG	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700171','60','88152-73RA0','LINK, 3RD CUSH LEG','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700177	66	87115-73R00	RISER, RR CUSH CENTER R	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700177','66','87115-73R00','RISER, RR CUSH CENTER R','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700178	67	87135-73R00	BRACKET, RR WALKIN CABLE	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700178','67','87135-73R00','BRACKET, RR WALKIN CABLE','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700181	70	85812-74P00	BRACKET, FR BACK HINGE,L	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700181','70','85812-74P00','BRACKET, FR BACK HINGE,L','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700186	75	85624-81P50	PLATE, FR CUSH FRAME, L	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700186','75','85624-81P50','PLATE, FR CUSH FRAME, L','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700191	80	88231-73RA0	BRACKET,3RD INNER, R	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700191','80','88231-73RA0','BRACKET,3RD INNER, R','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700192	81	88731-73RA0	BRACKET,3RD INNER, L	95	NULL	10010		FG3	0		0	0	50509	1	0	NULL	('SAI1700192','81','88731-73RA0','BRACKET,3RD INNER, L','95',NULL,'10010','','FG3','0','','0','0','50509','1','0',NULL),
SAI1700193	57	111	MOTOR	549	NULL	10009	A	FG3	3		3	816	67	1	1	NULL	('SAI1700193','57','111','MOTOR','549',NULL,'10009','A','FG3','3','','3','816','67','1','1',NULL),
SAI1700195	1	65700-TG4R-T002-H1	C/MBR,COM MID FLR	615	NULL	10013		FG3	0		1	0	50509	1	0	NULL	('SAI1700195','1','65700-TG4R-T002-H1','C/MBR,COM MID FLR','615',NULL,'10013','','FG3','0','','1','0','50509','1','0',NULL),
SAI1700196	2	65110-TG2-K000-H1	FRAME COMP R, FR FLR	615	NULL	10013		FG3	0		1	0	50509	1	0	NULL	('SAI1700196','2','65110-TG2-K000-H1','FRAME COMP R, FR FLR','615',NULL,'10013','','FG3','0','','1','0','50509','1','0',NULL),
SAI1700197	3	65160-TG4-U000-H1	FRAME COMP L, FR FLR	615	NULL	10013		FG3	0		1	0	50509	1	0	NULL	('SAI1700197','3','65160-TG4-U000-H1','FRAME COMP L, FR FLR','615',NULL,'10013','','FG3','0','','1','0','50509','1','0',NULL),
SAI1700198	4	62130-TG4R-T002-H1	ROOF RAIL COM REAR	615	NULL	10013		FG3	0		1	0	50509	1	0	NULL	('SAI1700198','4','62130-TG4R-T002-H1','ROOF RAIL COM REAR','615',NULL,'10013','','FG3','0','','1','0','50509','1','0',NULL),
