SAI1700088-2,SAI1700088,,DRAW,TR-PIE,CAM-TR-PI,FORM-SEP,,,,NULL,684
SAI1700088-3,SAI1700088,,,,,,,,,NULL,685
SAI1700089-1,SAI1700089,,DRAW,TR-PIE,CAM-TR-PI,FORM-SEP,,,,NULL,686
SAI1700098-1,SAI1700098,,,,,,,,,NULL,408
SAI1700099-1,SAI1700099,ROUGH BLANK,FORM,FORM   MARK ,CUT PIE   CUT (G),,,,,NULL,375
SAI1700099-2,SAI1700099,BLANK,DRAW ,TRIM,BEND REST R/L,SEP-PIE,,,,NULL,410
SAI1700100-1,SAI1700100,BLANK ,FORMING,PIERCING,,,,,,NULL,376
SAI1700100-2,SAI1700100,BLANK,DRAW ,TRIM,BEND REST R/L,SEP-PIE,,,,NULL,412
SAI1700101-2,SAI1700101,BLANK,DRAW ,TRIM,BEND REST R/L,SEP-PIE,,,,NULL,379
SAI1700102-1,SAI1700102, ROUGH BLANK,FORM,FORM MARK,CUT PIE,CUT PIE   PIE (G),,,,NULL,381
SAI1700102-2,SAI1700102,BLANK,DRAW ,TRIM,BEND REST R/L,SEP-PIE,,,,NULL,382
SAI1700104-2,SAI1700104,,PROGRESSIVE  6ST,,,,,,,NULL,386
SAI1700104-3,SAI1700104,BLANK PIE,FORM 1,FORM-MARK,BENDING,PIE-REST,,,,NULL,387
SAI1700105-1,SAI1700105,,PROGRESSIVE 8ST,,,,,,,NULL,389
SAI1700105-2,SAI1700105,,PROGRESSIVE  6ST,,,,,,,NULL,390
SAI1700106-1,SAI1700106,BLANK PIE (COIL ),FORMING-PIERCING-REST,PIERCING,,,,,,NULL,414
SAI1700107-1,SAI1700107,BLANK PIE (COIL ),FORM R/L,PIE   PIE (G) R/L,,,,,,NULL,392
SAI1700108-1,SAI1700108,,BLANK,FORM   FORM (G),PIE,,,,,NULL,416
SAI1700113-1,SAI1700113,BLANK ,FORMING,PIERCING,,,,,,NULL,402
SAI1700113-2,SAI1700113,,,,,,,,,NULL,403
SAI1700113-3,SAI1700113,BLANK,DRAW ,TRIM,BEND REST R/L,SEP-PIE,,,,NULL,404
