1,ATK,Alat Tulis Kantor,NULL,TR,X
2,Consumable Tool,Consumable Tool Room,NULL,TR,X
4,MPC,Memo Permintaan MPC (Tool Room),NULL,TR,X
5,GA-C,Consumable GA,NULL,GA,X
9,ICT-C,ICT CONSUMABLE,NULL,TR,X
10,MTN-T,MAINTENANCE TOOLS,NULL,TR,X
11,MTN-M,MAINTENANCE MACHINE,NULL,TR,X
12,COOKIES,COOKIES,NULL,GA,X
13,APD,ALAT PELINDUNG DIRI,NULL,GA,X
14,PHARMACY,OBAT-OBATAN,NULL,GA,X
15,BL,Building,NULL,ASSET,X
16,MC,Machine,NULL,ASSET,X
17,OE,Office Equipment,NULL,ASSET,X
18,PE,Plant Equipment,NULL,ASSET,X
19,COM,Computer,NULL,ASSET,X
20,FF,Furniture & Fixture,NULL,ASSET,X
21,AL,Asset Leasing,NULL,ASSET,X
22,SL,Software & License,NULL,ASSET,X
23,TRANSPORTATION,TRANSPORTATION,NULL,ASSET,X
24,001,ICT COnsumable,NULL,ICT,X
25,002,ICT INVESTASI,NULL,ICT,X
26,SCAN,Scaner,NULL,ASSET,X
27,TES,Tes Category,NULL,ICT,O
